File_Version	1
47010	870681	21502	BelarusianSU 1: Dungeon Thread	Belarusian State University	Belarusian SU	BLR	INST-144
47087	870683	21502	Cataleptodius	St. Petersburg ITMO University	SPb ITMO	RUS	INST-3295
47055	870685	21502	DeoxyriboNucleic Acid	Kazakh-British Technical University	Kazakh-British TU	KAZ	INST-989
47086	870686	21502	Just3Keks	St. Petersburg Campus of Higher School of Economics	SPb HSE	RUS	INST-9606
47070	870687	21502	wf or gf?	Nazarbayev University	Nazarbayev U	KAZ	INST-6514
47007	870688	21502	AITU 1	Astana IT University	AITU	KAZ	INST-10637
47061	870689	21502	apes together strong	Moscow State University	Moscow SU	RUS	INST-1237
47011	870690	21502	Belarusian SUIR #1: So stuffy	Belarusian State University of Informatics and Radioelectronics	BSUIR	BLR	INST-140
47073	870691	21502	Novosibirsk SU 4: MathWay	Novosibirsk State University	Novosibirsk SU	RUS	INST-1372
47078	870692	21502	Saratov SU K	Saratov State University	Saratov State U	RUS	INST-1623
47064	870693	21502	Useless but powerful	National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)	MEPhI	RUS	INST-1215
47049	870694	21502	IITU: Defective Memory	International IT University	IITU	KAZ	INST-4330
47134	870696	21500	Hell Hunt	UNSW Sydney	UNSW Sydney	AUS	INST-2449
47126	870697	21500	Arts Students	University of Melbourne	U Melbourne	AUS	INST-1978
47082	870874	21517	Silver Bullet	Shanghai Jiao Tong University	SJTU	CHN	INST-1663
47019	871347	21497	Chinela++	Carleton College	Carleton	USA	INST-230
47136	871349	21517	Solitary Dream	Zhejiang University	Zhejiang U	CHN	INST-2751
47111	871379	21500	Bingung weh	Universitas Indonesia	UI	IDN	INST-2390
47034	873624	21496	P+P+P	Harbour.Space University - Barcelona Campus	HS	ESP	INST-9745
47069	873768	21500	NYCU_13	National Yang Ming Chiao Tung University	NYCU	TWN	INST-275
47112	881825	21496	UoB R-Shuf	University of Belgrade	UBG	SRB	INST-2316
47080	928309	21500	HappyLastDance	Seoul National University	Seoul National U	KOR	INST-1636
